uid,title,genre,episodes,members,popularity,ranked,score,img_url,link
10500,Ojiisan no Lamp,"['Drama', 'Historical']",1,16096,3562,1391,7.61,https://cdn.myanimelist.net/images/anime/9/76455.jpg,https://myanimelist.net/anime/10500/Ojiisan_no_Lamp
5162,Minami-ke Okaeri,"['Slice of Life', 'Comedy', 'School']",13,55751,1755,1390,7.61,https://cdn.myanimelist.net/images/anime/10/11458.jpg,https://myanimelist.net/anime/5162/Minami-ke_Okaeri
12487,Kyoukaisenjou no Horizon II,"['Action', 'Fantasy', 'Sci-Fi']",13,65367,1573,1389,7.61,https://cdn.myanimelist.net/images/anime/6/38227.jpg,https://myanimelist.net/anime/12487/Kyoukaisenjou_no_Horizon_II
250,Konjiki no Gash Bell!!,"['Adventure', 'Comedy', 'Demons', 'Supernatural', 'Magic', 'Shounen']",150,82713,1316,1388,7.61,https://cdn.myanimelist.net/images/anime/7/14983.jpg,https://myanimelist.net/anime/250/Konjiki_no_Gash_Bell
35079,Kino no Tabi: The Beautiful World - The Animated Series,"['Action', 'Adventure', 'Slice of Life']",12,116483,974,1387,7.61,https://cdn.myanimelist.net/images/anime/13/87235.jpg,https://myanimelist.net/anime/35079/Kino_no_Tabi__The_Beautiful_World_-_The_Animated_Series
449,InuYasha Movie 4: Guren no Houraijima,"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Drama', 'Magic', 'Romance', 'Fantasy', 'Shounen']",1,64801,1578,1386,7.61,https://cdn.myanimelist.net/images/anime/1216/94369.jpg,https://myanimelist.net/anime/449/InuYasha_Movie_4__Guren_no_Houraijima
28221,Etotama,"['Action', 'Comedy', 'Fantasy']",12,61338,1641,4023,6.94,https://cdn.myanimelist.net/images/anime/7/73586.jpg,https://myanimelist.net/anime/28221/Etotama
32607,Gi(a)rlish Number,['Slice of Life'],12,80803,1346,4027,6.94,https://cdn.myanimelist.net/images/anime/3/82291.jpg,https://myanimelist.net/anime/32607/Giarlish_Number
40062,Ling Jian Zun 2nd Season,"['Action', 'Romance', 'Fantasy']",,375,11740,4036,6.94,https://cdn.myanimelist.net/images/anime/1909/102091.jpg,https://myanimelist.net/anime/40062/Ling_Jian_Zun_2nd_Season
37345,Plunderer,"['Action', 'Ecchi', 'Fantasy', 'Shounen']",,45650,2017,4387,6.85,https://cdn.myanimelist.net/images/anime/1534/104784.jpg,https://myanimelist.net/anime/37345/Plunderer
212,Project A-Ko,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci-Fi', 'Super Power']",1,12348,3967,4043,6.94,https://cdn.myanimelist.net/images/anime/2/58391.jpg,https://myanimelist.net/anime/212/Project_A-Ko
40151,Shao Nu Qian Xian Ren Xing Xiao Ju Chang,"['Military', 'Sci-Fi', 'Comedy']",24,1676,8352,4045,6.93,https://cdn.myanimelist.net/images/anime/1225/102606.jpg,https://myanimelist.net/anime/40151/Shao_Nu_Qian_Xian_Ren_Xing_Xiao_Ju_Chang
1023,Wolf's Rain OVA,"['Sci-Fi', 'Adventure', 'Psychological', 'Supernatural', 'Drama']",4,49582,1903,487,8.07,https://cdn.myanimelist.net/images/anime/3/22397.jpg,https://myanimelist.net/anime/1023/Wolfs_Rain_OVA
8063,Sekaiichi Hatsukoi OVA,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']",2,50754,1876,486,8.07,https://cdn.myanimelist.net/images/anime/11/35863.jpg,https://myanimelist.net/anime/8063/Sekaiichi_Hatsukoi_OVA
33926,Quanzhi Gaoshou,"['Action', 'Game']",12,212909,507,485,8.07,https://cdn.myanimelist.net/images/anime/7/81892.jpg,https://myanimelist.net/anime/33926/Quanzhi_Gaoshou
